"日付","メンバー合計数","承認待ちのメンバー","承認されたメンバーリクエスト","却下されたメンバーリクエスト","投稿","コメント","リアクション","アクティブなメンバー"
"2020-04-03","54","0","1","0","1","3","2","27"
"2020-04-04","54","0","0","0","0","0","0","13"
"2020-04-05","56","0","2","0","1","1","4","24"
"2020-04-06","56","0","0","0","0","0","0","12"
"2020-04-07","56","0","0","0","3","1","3","27"
"2020-04-08","56","0","0","0","1","1","1","26"
"2020-04-09","56","0","0","0","1","0","1","28"
"2020-04-10","56","0","0","0","1","0","1","21"
"2020-04-11","57","0","1","0","0","1","1","15"
"2020-04-12","57","0","0","0","2","2","2","26"
"2020-04-13","57","0","0","0","4","19","18","28"
"2020-04-14","57","0","0","0","2","1","10","30"
"2020-04-15","57","0","0","0","0","3","6","19"
"2020-04-16","57","0","0","0","2","0","2","24"
"2020-04-17","58","0","1","0","0","0","3","16"
"2020-04-18","59","0","1","0","1","0","2","13"
"2020-04-19","59","0","0","0","0","1","2","24"
"2020-04-20","59","0","0","0","1","2","1","25"
"2020-04-21","59","0","0","0","0","1","0","16"
"2020-04-22","60","0","1","0","3","1","0","23"
"2020-04-23","60","0","0","0","2","0","1","31"
"2020-04-24","62","0","2","0","2","4","3","29"
"2020-04-25","75","1","13","0","4","23","10","47"
"2020-04-26","76","0","1","0","2","1","4","38"
"2020-04-27","78","0","2","0","3","7","3","40"
"2020-04-28","79","0","1","0","2","12","9","44"
"2020-04-29","81","0","2","0","1","1","6","33"
"2020-04-30","81","0","0","0","0","0","4","31"
"2020-05-01","82","0","1","1","0","0","0","14"
"2020-05-02","82","0","0","0","0","0","0","14"
"2020-05-03","82","0","0","0","0","0","1","7"
"2020-05-04","82","0","0","0","1","0","5","37"
"2020-05-05","81","0","0","0","5","2","7","49"
"2020-05-06","81","0","0","0","0","0","2","26"
"2020-05-07","82","0","1","0","1","0","2","38"
"2020-05-08","83","0","1","0","2","2","5","39"
"2020-05-09","83","0","0","0","1","0","11","41"
"2020-05-10","85","0","2","0","1","0","0","35"
"2020-05-11","88","0","3","0","1","7","6","46"
"2020-05-12","88","0","0","0","1","1","4","34"
"2020-05-13","88","0","0","0","3","3","8","50"
"2020-05-14","88","0","0","0","4","1","9","44"
"2020-05-15","88","0","0","0","3","10","9","54"
"2020-05-16","92","0","4","0","1","2","5","49"
"2020-05-17","94","0","2","0","2","0","5","56"
"2020-05-18","98","0","4","0","4","6","2","56"
"2020-05-19","99","0","1","0","3","0","3","49"
"2020-05-20","99","0","0","0","5","2","3","48"
"2020-05-21","99","0","0","0","1","3","4","47"
"2020-05-22","104","0","5","0","3","5","18","58"
"2020-05-23","106","0","2","0","2","0","6","57"
"2020-05-24","108","0","2","0","3","4","12","57"
"2020-05-25","109","0","1","0","6","5","10","56"
"2020-05-26","110","0","1","0","0","0","2","39"
"2020-05-27","111","0","1","0","3","4","5","49"
"2020-05-28","112","0","1","0","4","3","4","55"
"2020-05-29","112","0","0","0","5","8","3","51"
"2020-05-30","112","0","0","0","2","2","0","49"
"2020-05-31","111","0","0","0","0","0","0","39"
"2020-06-01","111","0","0","0","1","0","2","33"
"2020-06-02","111","0","0","0","2","0","2","38"
"2020-06-03","111","0","0","0","1","0","0","35"
"2020-06-04","111","0","0","0","1","5","9","47"
"2020-06-05","111","0","0","0","1","1","4","30"
"2020-06-06","112","0","1","0","3","0","5","53"
"2020-06-07","112","0","0","0","2","3","3","43"
"2020-06-08","112","0","0","0","1","0","3","52"
"2020-06-09","113","0","1","0","0","0","1","19"
"2020-06-10","114","0","1","0","1","1","6","36"
"2020-06-11","114","0","0","0","2","0","6","41"
"2020-06-12","114","0","0","0","0","2","1","33"
"2020-06-13","114","0","0","0","4","2","6","52"
"2020-06-14","115","0","1","0","2","0","8","55"
"2020-06-15","115","0","0","0","1","0","3","43"
"2020-06-16","115","0","0","0","5","7","4","49"
"2020-06-17","116","0","1","0","1","0","2","40"
"2020-06-18","116","0","0","0","5","4","3","48"
"2020-06-19","116","0","0","0","1","0","1","46"
"2020-06-20","118","0","2","0","1","1","4","50"
"2020-06-21","118","0","0","0","3","1","7","39"
"2020-06-22","118","0","0","0","7","1","12","51"
"2020-06-23","118","0","0","0","1","0","4","46"
"2020-06-24","120","0","2","0","4","8","16","55"
"2020-06-25","120","0","0","0","3","0","4","52"
"2020-06-26","122","0","2","0","2","2","9","48"
"2020-06-27","123","0","1","0","0","1","4","31"
"2020-06-28","123","0","0","0","0","0","1","19"
"2020-06-29","123","0","0","0","2","0","0","19"
"2020-06-30","125","0","2","0","2","7","9","45"
"2020-07-01","125","0","0","0","2","3","3","49"
"2020-07-02","125","0","0","0","1","6","6","48"
"2020-07-03","125","0","0","0","2","1","3","46"
"2020-07-04","126","0","1","0","0","1","3","22"
"2020-07-05","126","0","0","0","0","0","0","15"
"2020-07-06","127","0","0","0","1","17","14","54"
"2020-07-07","127","0","0","0","0","1","2","14"
"2020-07-08","127","0","0","0","1","0","0","21"
"2020-07-09","127","0","0","0","1","1","2","42"
"2020-07-10","127","0","0","0","1","0","4","46"
"2020-07-11","128","0","1","0","3","1","2","46"
"2020-07-12","128","0","0","0","2","0","2","46"
"2020-07-13","128","0","0","0","2","3","3","32"
"2020-07-14","128","0","0","0","3","5","13","49"
"2020-07-15","129","0","1","0","1","4","9","43"
"2020-07-16","130","0","1","0","0","0","0","25"
"2020-07-17","130","0","0","0","0","0","2","14"
"2020-07-18","134","0","4","0","2","7","7","63"
"2020-07-19","135","1","1","0","1","2","1","40"
"2020-07-20","136","0","1","0","1","5","3","42"
"2020-07-21","136","0","0","0","4","0","3","37"
"2020-07-22","136","0","0","0","2","1","11","50"
"2020-07-23","136","0","0","0","1","1","7","50"
"2020-07-24","136","0","0","0","4","0","4","48"
"2020-07-25","136","0","0","0","3","1","3","55"
"2020-07-26","136","0","0","0","3","1","5","50"
"2020-07-27","137","0","1","0","9","5","12","66"
"2020-07-28","138","0","1","0","5","3","9","53"
"2020-07-29","138","0","0","0","1","1","0","50"
"2020-07-30","139","0","1","0","1","1","5","45"
"2020-07-31","138","0","0","0","2","0","3","37"
"2020-08-01","138","0","0","0","3","0","3","48"
"2020-08-02","138","0","0","0","0","0","0","35"
"2020-08-03","138","0","0","0","5","17","9","41"
"2020-08-04","138","0","0","0","5","5","19","57"
"2020-08-05","138","0","0","0","3","6","5","44"
"2020-08-06","138","0","0","0","7","16","22","47"
"2020-08-07","139","0","1","0","2","2","6","49"
"2020-08-08","140","0","1","0","2","2","8","46"
"2020-08-09","140","0","0","0","1","1","3","46"
"2020-08-10","140","0","0","0","0","0","0","24"
